from_id,to_id,from_fraction
district_cooling_cooling,elec_cooling,1
district_heating_heating,ng_heating,1
district_heating_water_systems,ng_water_heating,1
electricity_cooling,elec_cooling,1
electricity_exterior_lighting,elec_lighting,1
electricity_fans,elec_ventilation,1
electricity_heat_recovery,elec_heating,1
electricity_heat_rejection,elec_cooling,1
electricity_heating,elec_heating,1
electricity_interior_equipment,elec_interior_eq,1
electricity_interior_lighting,elec_lighting,1
electricity_pumps,elec_cooling,0.5
electricity_pumps,elec_heating,0.5
electricity_refrigeration,elec_refrigeration,1
electricity_water_systems,elec_water_heating,1
fuel_oil_heating,other_heating,1
fuel_oil_water_systems,other_water_heating,1
natural_gas_heating,ng_heating,1
natural_gas_interior_equipment,ng_interior_eq,1
natural_gas_water_systems,ng_water_heating,1
propane_heating,other_heating,1
propane_water_systems,other_water_heating,1
